Country_ID,Geography,Category,Data Type,Unit,Current Constant,2021
11,Bolivia,Disposable Income,Socio-economic indicators,BOB million,Current Prices,176719.7
11,Bolivia,Total Population,Socio-economic indicators,0,-,11964.2
12,Bosnia and Herzegovina,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,BAM million,Current Prices,235.9
12,Bosnia and Herzegovina,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,BAM million,Current Prices,3.3
12,Bosnia and Herzegovina,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,BAM million,Current Prices,379.5
12,Bosnia and Herzegovina,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,BAM million,Current Prices,510
12,Bosnia and Herzegovina,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,BAM million,Current Prices,141.6
12,Bosnia and Herzegovina,Consumer Expenditure on Education,Socio-economic indicators,BAM million,Current Prices,370
12,Bosnia and Herzegovina,Consumer Expenditure on Personal Care,Socio-economic indicators,BAM million,Current Prices,136.2
12,Bosnia and Herzegovina,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,BAM million,Current Prices,292.7
12,Bosnia and Herzegovina,Disposable Income,Socio-economic indicators,BAM million,Current Prices,26634.5
12,Bosnia and Herzegovina,Total Population,Socio-economic indicators,0,-,3462.6
13,Brazil,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,BRL million,Current Prices,30914.7
13,Brazil,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,BRL million,Current Prices,644.9
13,Brazil,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,BRL million,Current Prices,30203.2
13,Brazil,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,BRL million,Current Prices,21719.3
13,Brazil,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,BRL million,Current Prices,23389.9
13,Brazil,Consumer Expenditure on Education,Socio-economic indicators,BRL million,Current Prices,23969.4
13,Brazil,Consumer Expenditure on Personal Care,Socio-economic indicators,BRL million,Current Prices,175321.5
13,Brazil,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,BRL million,Current Prices,13840.5
13,Brazil,Disposable Income,Socio-economic indicators,BRL million,Current Prices,5759937.5
13,Brazil,Total Population,Socio-economic indicators,0,-,214306.9
14,Bulgaria,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,BGN million,Current Prices,292.1
14,Bulgaria,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,BGN million,Current Prices,230.5
14,Bulgaria,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,BGN million,Current Prices,1335.3
14,Bulgaria,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,BGN million,Current Prices,2202.7
14,Bulgaria,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,BGN million,Current Prices,583.4
14,Bulgaria,Consumer Expenditure on Education,Socio-economic indicators,BGN million,Current Prices,890.8
14,Bulgaria,Consumer Expenditure on Personal Care,Socio-economic indicators,BGN million,Current Prices,1456.2
14,Bulgaria,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,BGN million,Current Prices,607.4
14,Bulgaria,Disposable Income,Socio-economic indicators,BGN million,Current Prices,76601.8
14,Bulgaria,Total Population,Socio-economic indicators,0,-,6916.5
15,Cambodia,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,KHR million,Current Prices,339534.7
15,Cambodia,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,KHR million,Current Prices,132447.5
15,Cambodia,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,KHR million,Current Prices,399585.4
15,Cambodia,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,KHR million,Current Prices,776900.4
15,Cambodia,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,KHR million,Current Prices,286122
15,Cambodia,Consumer Expenditure on Education,Socio-economic indicators,KHR million,Current Prices,1768378.5
15,Cambodia,Consumer Expenditure on Personal Care,Socio-economic indicators,KHR million,Current Prices,933807.6
15,Cambodia,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,KHR million,Current Prices,528435.5
15,Cambodia,Disposable Income,Socio-economic indicators,KHR million,Current Prices,79135421.2
15,Cambodia,Total Population,Socio-economic indicators,0,-,16589.0
16,Cameroon,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,XAF million,Current Prices,9757.5
16,Cameroon,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,XAF million,Current Prices,12976.9
16,Cameroon,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,XAF million,Current Prices,78594.2
16,Cameroon,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,XAF million,Current Prices,36832.7
16,Cameroon,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,XAF million,Current Prices,26543.7
16,Cameroon,Consumer Expenditure on Education,Socio-economic indicators,XAF million,Current Prices,114193.4
16,Cameroon,Consumer Expenditure on Personal Care,Socio-economic indicators,XAF million,Current Prices,188778.5
16,Cameroon,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,XAF million,Current Prices,25684.3
16,Cameroon,Disposable Income,Socio-economic indicators,XAF million,Current Prices,17649547.4
16,Cameroon,Total Population,Socio-economic indicators,0,-,27198.6
17,Canada,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,CAD million,Current Prices,16147.6
17,Canada,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,CAD million,Current Prices,11763.4
17,Canada,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,CAD million,Current Prices,35441.8
17,Canada,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,CAD million,Current Prices,35501.7
17,Canada,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,CAD million,Current Prices,6900.1
17,Canada,Consumer Expenditure on Education,Socio-economic indicators,CAD million,Current Prices,22543.7
17,Canada,Consumer Expenditure on Personal Care,Socio-economic indicators,CAD million,Current Prices,29305.1
17,Canada,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,CAD million,Current Prices,965.8
17,Canada,Disposable Income,Socio-economic indicators,CAD million,Current Prices,144034
17,Canada,Total Population,Socio-economic indicators,0,-,38246.1
18,Chile,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,CLP million,Current Prices,1149961.4
18,Chile,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,CLP million,Current Prices,71707.1
18,Chile,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,CLP million,Current Prices,2942712.4
18,Chile,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,CLP million,Current Prices,2965960.8
18,Chile,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,CLP million,Current Prices,1148254.6
18,Chile,Consumer Expenditure on Education,Socio-economic indicators,CLP million,Current Prices,517648.4
18,Chile,Consumer Expenditure on Personal Care,Socio-economic indicators,CLP million,Current Prices,5815866.7
18,Chile,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,CLP million,Current Prices,1359859.8
18,Chile,Disposable Income,Socio-economic indicators,CLP million,Current Prices,153622417.9
18,Chile,Total Population,Socio-economic indicators,0,-,19465.7
19,China,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,CNY million,Current Prices,499782.8
19,China,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,CNY million,Current Prices,145141.5
19,China,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,CNY million,Current Prices,456935.8
19,China,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,CNY million,Current Prices,588197
19,China,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,CNY million,Current Prices,225441.1
19,China,Consumer Expenditure on Education,Socio-economic indicators,CNY million,Current Prices,2622951.7
19,China,Consumer Expenditure on Personal Care,Socio-economic indicators,CNY million,Current Prices,286357
19,China,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,CNY million,Current Prices,239257
19,China,Disposable Income,Socio-economic indicators,CNY million,Current Prices,67352554.9
19,China,Total Population,Socio-economic indicators,0,-,1412120.0
20,Colombia,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,COP million,Current Prices,1412234.2
20,Colombia,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,COP million,Current Prices,113943.4
20,Colombia,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,COP million,Current Prices,916363
20,Colombia,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,COP million,Current Prices,165172
20,Colombia,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,COP million,Current Prices,2721831.9
20,Colombia,Consumer Expenditure on Education,Socio-economic indicators,COP million,Current Prices,36540713.2
20,Colombia,Consumer Expenditure on Personal Care,Socio-economic indicators,COP million,Current Prices,18487704.7
20,Colombia,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,COP million,Current Prices,10550355.3
20,Colombia,Disposable Income,Socio-economic indicators,COP million,Current Prices,926818140.5
20,Colombia,Total Population,Socio-economic indicators,0,-,51466.2
21,Costa Rica,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,CRC million,Current Prices,61520.4
21,Costa Rica,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,CRC million,Current Prices,6247.5
